url,producto,variedad,mercado,volumen,calidad,precioMin,precioProm,precioMax,unidad
15/02/2017,Papa,Patagonia,Central Lo Valledor de Santiago,1.640,1a nueva(o),5.882,6.246,6.723,$/saco 50 kilos
15/02/2017,Mango,Sin especificar,Central Lo Valledor de Santiago,160,Especial,3.782,3.782,3.782,$/bandeja 4 kilos
15/02/2017,Papa,Patagonia,Central Lo Valledor de Santiago,1.180,1a nueva(o),5.882,6.260,6.723,$/saco 50 kilos
15/02/2017,Mango,Sin especificar,Central Lo Valledor de Santiago,320,Primera,3.361,3.361,3.361,$/bandeja 4 kilos
15/02/2017,Papa,Pukará,Central Lo Valledor de Santiago,830,1a nueva(o),5.042,5.427,5.882,$/saco 50 kilos
15/02/2017,Manzana,Granny Smith,Central Lo Valledor de Santiago,14,Especial,92.437,92.437,92.437,$/bins (400 kilos)
15/02/2017,Papa,Rodeo,Central Lo Valledor de Santiago,930,1a nueva(o),5.882,6.280,6.723,$/saco 50 kilos
15/02/2017,Pepino dulce,Cultivar IV Región,Central Lo Valledor de Santiago,60,Especial,9.244,9.244,9.244,$/caja 18 kilos
15/02/2017,Manzana,Granny Smith,Central Lo Valledor de Santiago,14,Especial,100.840,100.840,100.840,$/bins (400 kilos)
15/02/2017,Pepino dulce,Cultivar IV Región,Central Lo Valledor de Santiago,270,Primera,7.563,7.937,8.403,$/caja 18 kilos
15/02/2017,Manzana,Granny Smith,Central Lo Valledor de Santiago,18,Primera,75.630,75.630,75.630,$/bins (400 kilos)
15/02/2017,Pepino dulce,Cultivar IV Región,Central Lo Valledor de Santiago,200,Segunda,5.042,5.462,5.882,$/caja 18 kilos
15/02/2017,Manzana,Granny Smith,Central Lo Valledor de Santiago,16,Primera,84.034,84.034,84.034,$/bins (400 kilos)
15/02/2017,Pepino ensalada,Sin especificar,Central Lo Valledor de Santiago,550,Primera,13.025,13.216,13.445,$/caja 80 unidades
15/02/2017,Manzana,Granny Smith,Central Lo Valledor de Santiago,12,Segunda,67.227,67.227,67.227,$/bins (400 kilos)
15/02/2017,Pepino ensalada,Sin especificar,Central Lo Valledor de Santiago,330,Segunda,10.924,11.306,11.765,$/caja 100 unidades
15/02/2017,Manzana,Royal Gala,Central Lo Valledor de Santiago,30,Especial,92.437,96.359,100.840,$/bins (400 kilos)
15/02/2017,Perejil,Sin especificar,Central Lo Valledor de Santiago,95,Primera,10.084,10.084,10.084,$/docena de atados
15/02/2017,Manzana,Royal Gala,Central Lo Valledor de Santiago,38,Primera,79.832,81.822,84.034,$/bins (400 kilos)
15/02/2017,Pimiento,Cuatro cascos verde,Central Lo Valledor de Santiago,550,Primera,3.361,3.591,3.782,$/caja 18 kilos
15/02/2017,Manzana,Royal Gala,Central Lo Valledor de Santiago,24,Segunda,67.227,69.328,71.429,$/bins (400 kilos)
15/02/2017,Naranja,Valencia,Central Lo Valledor de Santiago,18,Especial,184.874,184.874,184.874,$/bins (400 kilos)
15/02/2017,Pimiento,Cuatro cascos verde,Central Lo Valledor de Santiago,250,Segunda,2.941,2.941,2.941,$/caja 18 kilos
15/02/2017,Naranja,Valencia,Central Lo Valledor de Santiago,24,Primera,168.067,168.067,168.067,$/bins (400 kilos)
15/02/2017,Pimiento,Morrón rojo,Central Lo Valledor de Santiago,150,Primera,5.882,6.275,6.723,$/caja 20 kilos
15/02/2017,Naranja,Valencia,Central Lo Valledor de Santiago,14,Segunda,142.857,142.857,142.857,$/bins (400 kilos)
15/02/2017,Pimiento,Morrón rojo,Central Lo Valledor de Santiago,90,Segunda,4.202,4.762,5.042,$/caja 20 kilos
15/02/2017,Pimiento,Morrón rojo,Central Lo Valledor de Santiago,35,Tercera,2.521,2.761,2.941,$/caja 20 kilos
15/02/2017,Nectarín,Artic Snow,Central Lo Valledor de Santiago,16,Especial,151.260,151.260,151.260,$/bins (420 kilos)
15/02/2017,Pimiento,Zafiro rojo,Central Lo Valledor de Santiago,250,Primera,6.723,7.059,7.563,$/caja 18 kilos
15/02/2017,Nectarín,Artic Snow,Central Lo Valledor de Santiago,73,Especial,7.563,7.707,7.983,$/caja 16 kilos empedrada
15/02/2017,Pimiento,Zafiro rojo,Central Lo Valledor de Santiago,150,Segunda,5.882,5.882,5.882,$/caja 18 kilos
15/02/2017,Pimiento,Zafiro verde,Central Lo Valledor de Santiago,500,Primera,5.042,5.294,5.462,$/caja 18 kilos
15/02/2017,Nectarín,Artic Snow,Central Lo Valledor de Santiago,152,Especial,8.403,8.403,8.403,$/caja 18 kilos empedrada
15/02/2017,Pimiento,Zafiro verde,Central Lo Valledor de Santiago,200,Segunda,4.202,4.202,4.202,$/caja 18 kilos
